date_forecast,date_scraped,location,precipitation_mm,precipitation_percent,temp_max_celsius,temp_min_celsius,weather_forecast,website_scraped
30.4,2021-04-30 11:08:29,Zuerich,5,80,11,8,Regenschauer,meteotest
1.5,2021-04-30 11:08:29,Zuerich,30,70,11,7,starker Regen,meteotest
2.5,2021-04-30 11:08:29,Zuerich,20,80,10,5,starker Regen,meteotest
3.5,2021-04-30 11:08:30,Zuerich,<0.1,80,14,3,stark bewölkt,meteotest
4.5,2021-04-30 11:08:30,Zuerich,4,40,14,3,Regenschauer,meteotest
30.4,2021-04-30 11:08:42,Luzern,5,90,12,8,Regenschauer,meteotest
1.5,2021-04-30 11:08:42,Luzern,20,50,11,7,Regenschauer,meteotest
2.5,2021-04-30 11:08:42,Luzern,20,80,9,6,starker Regen,meteotest
3.5,2021-04-30 11:08:42,Luzern,1,50,13,4,Regenschauer,meteotest
4.5,2021-04-30 11:08:42,Luzern,2,5,15,4,leicht bewölkt,meteotest
30.4,2021-04-30 11:08:51,Fribourg,6,80,10,7,Regenschauer,meteotest
1.5,2021-04-30 11:08:51,Fribourg,19,80,10,5,Regenschauer,meteotest
2.5,2021-04-30 11:08:51,Fribourg,19,90,8,5,starker Regen,meteotest
3.5,2021-04-30 11:08:51,Fribourg,<0.1,80,12,2,stark bewölkt,meteotest
4.5,2021-04-30 11:08:52,Fribourg,1,30,13,3,Regenschauer,meteotest
30.4,2021-04-30 11:09:05,Jungfraujoch,3,90,-4,-8,Schneeschauer,meteotest
1.5,2021-04-30 11:09:05,Jungfraujoch,23,90,-4,-7,Schneefall,meteotest
2.5,2021-04-30 11:09:05,Jungfraujoch,22,90,-7,-11,Schneeschauer,meteotest
3.5,2021-04-30 11:09:05,Jungfraujoch,1,70,-8,-15,Schneeschauer,meteotest
4.5,2021-04-30 11:09:05,Jungfraujoch,2,70,-6,-10,Schneeschauer,meteotest
